participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.password_to_start,player.major,player.gender,player.grade,player.personal_versus_group,player.change,player.reason_own,player.reason_group,player.reason_conditional,player.reason_experiment,player.reason_adjust,player.reason_future_rounds,player.decision_style_facts,player.decision_style_feelings,player.decision_style_religious,player.decision_style_family,player.clarity,player.suggestions,player.start_time,player.time_spent_survey_one,player.time_spent_survey_two,player.time_spent_survey_three,player.time_spent_survey_four,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
3,ie0n2swc,P3,0,94,94,survey_base,EndPage,2024-02-27 16:06:43.501563,1,,,11.0,3,,0.0,Questionnaire,5,2,5,Saw less contribution to the group account. So I tried to save my own funds.,Saw less contribution to the group account,1,3,2,2,1,1,1,1,4,1,1,Please do not give blank cards for the upcoming experiments,1709051759.4846818,115.5396978855133,42.60653233528137,37.95262432098389,40.261635303497314,1,1,mqoz5bhq,,,,,0
4,5vll1bh3,P14,0,94,94,survey_base,EndPage,2024-02-27 16:06:45.052794,1,,,11.0,4,,0.0,Questionnaire,1,1,5,"The times I invested more to my personal account, I wanted to make sure I get the maximum points, as the teammates were not really taking into account the points that could me made as a whole","I thought maybe I could initiate investing into group account, but to no avail.",3,2,2,1,3,4,2,2,3,3,1,"Things were good, would have been more fun with chat option",1709051778.045112,157.69224858283997,43.18306040763855,34.209572553634644,24.280613899230957,1,1,mqoz5bhq,,,,,0
5,asfetulw,P12,0,94,94,survey_base,EndPage,2024-02-27 16:06:54.012027,1,,,15.0,5,,0.0,Questionnaire,1,2,5,As the personal investment leads us to get the more returns it led me to invest in personal account than the group account,"As the investment in the group account is declining time to time , my investment in the group account is returning less amount so i have invested more in the personal account",1,5,2,1,2,1,1,1,3,1,1,The instructions are very clear to understand,1709051850.9111362,158.5240080356598,41.46714925765991,25.922725677490234,27.91862916946411,1,1,mqoz5bhq,,,,,0
6,p2bl63ah,P7,0,94,94,survey_base,EndPage,2024-02-27 16:06:54.046094,1,,,15.0,6,,0.0,Questionnaire,1,2,5,I figured the pattern in my team's investment and decided it is better to keep it in the personal acct versus group acct since many were not investing.,Pattern in the investment trend seen in the group acct,1,3,3,1,1,1,1,2,3,1,1,na,1709051670.4440567,88.28128790855408,24.115341424942017,15.021951675415039,11.634161949157715,1,1,mqoz5bhq,,,,,0
7,q2ounc02,P15,0,94,94,survey_base,EndPage,2024-02-27 16:06:54.172094,1,,,10.0,7,,0.0,Questionnaire,1,1,5,Initially tried to see if everyone would chip into the group account but turned out that everyone was investing more into their personal account hence I continued to invest more into personal account,Not a lot of funds were being put in the group account as everyone tried to be risk averse and eventually everyone invested their funds into their personal accounts which is the safer option,1,3,2,2,1,4,2,3,4,1,1,"Could try to make the test more random by changing the funds given to each person at the beginning of each round. After round 6-7, not a lot of people invested in the group fund, which perhaps could be the point of this experiment.",1709051889.4800363,154.8308403491974,30.553325176239014,29.4276864528656,156.6474711894989,1,1,mqoz5bhq,,,,,0
8,eph5imp8,P2,0,94,94,survey_base,EndPage,2024-02-27 16:06:57.626624,1,,,14.0,8,,0.0,Questionnaire,1,1,5,Investing less will guarantee the minimum possible amount which is in our hands whereas the group account is not rigid. ,When I invested more my total earnings is less but if I invest less my earnings started to increase.,1,3,3,1,2,1,1,3,4,2,1,All good,1709051739.6199117,138.19178700447083,34.86033225059509,16.135332345962524,23.839361906051636,1,1,mqoz5bhq,,,,,0
9,h77bxy7c,P8,0,94,94,survey_base,EndPage,2024-02-27 16:06:59.490004,1,,,12.0,9,,0.0,Questionnaire,1,1,5,Observed that my teammates didn't invest much and thus I had to invest less.,"investing in the group yields max results given, the others do the same. Ultimately the amount invested by us has to less than total amount invested by others to see any profits.",3,2,2,2,2,5,3,2,4,2,1,None,1709051830.6424768,170.74591493606567,43.5810706615448,26.12145209312439,12.754077196121216,1,1,mqoz5bhq,,,,,0
10,gqwpnezr,P9,0,94,94,survey_base,EndPage,2024-02-27 16:07:14.396931,1,,,18.0,10,,0.0,Questionnaire,1,1,5,"I invested more into my personal account depending on how big/small the group account investment of the previous round was. I started with half (5-5) in the first round, then adjusted based on changes observed in the amount the group invested. No incentive to invest in the group in the last round.","I started with half (5) during the first period then adjusted each period based on the community investment of the previous round. The last round, there wasn't any incentive to invest in the group account.",2,4,2,2,1,5,1,1,3,1,1,None. I wish there was a clock in the room to keep track of time.,1709051826.3300455,166.48322701454163,89.00861835479736,23.136603593826294,30.057177305221558,1,1,mqoz5bhq,,,,,0
11,x2edkh9n,P1,0,94,94,survey_base,EndPage,2024-02-27 16:07:17.094680,1,,,15.0,11,,0.0,Questionnaire,1,1,3,"I would invest more on my personal account later on the rounds because there was a decline in the amount people would invest in the group account, so I would match that speed so I wouldn't lose a lot of money.","I would invest up in the beginning to encourage others to invest more so we can get a higher pay as a team. As the team started to invest less when the group account is high, I would invest around 3-4.",1,2,1,2,1,3,1,1,4,3,1,Everything was clear and simple to follow. I like it how there is less luck and more skill when it comes to how much you can earn compared to other experiments.,1709051839.761396,188.61868476867676,41.460814237594604,18.807693243026733,71.4002833366394,1,1,mqoz5bhq,,,,,0
12,xikihfa1,P5,0,94,94,survey_base,EndPage,2024-02-27 16:07:18.545697,1,,,16.0,12,,0.0,Questionnaire,1,1,5,the profit,1 or 2 ,2,2,2,2,2,2,1,1,1,1,2,It's good,1709051636.4064796,46.079195499420166,7.178078651428223,9.715766429901123,16.412699699401855,1,1,mqoz5bhq,,,,,0
13,rilfjvu0,P6,0,94,94,survey_base,EndPage,2024-02-27 16:07:19.067744,1,,,14.0,13,,0.0,Questionnaire,1,2,5,gain more outcome ,less investment ,5,5,5,5,5,5,2,1,4,2,2,none,1709051647.546924,42.92145133018494,22.392754077911377,19.037520170211792,11.26707673072815,1,1,mqoz5bhq,,,,,0
14,2a121y2b,P13,0,94,94,survey_base,EndPage,2024-02-27 16:07:21.686034,1,,,12.0,14,,0.0,Questionnaire,1,1,5,i invested more in the beginning and no one else did that so i started to invest less,i invested more in the beginning and no one else did because of that i lost money so i started to invest less,1,3,2,3,1,1,1,3,4,3,1,--,1709051800.241616,120.17530083656311,34.22522854804993,25.19927668571472,10.404841899871826,1,1,mqoz5bhq,,,,,0
15,m93na05t,P11,0,94,94,survey_base,EndPage,2024-02-27 16:07:26.603462,1,,,14.0,15,,0.0,Questionnaire,1,2,5,group,no one invested so to max profit invest less ,1,1,1,1,1,1,1,1,1,1,1,nice,1709051616.1722915,55.468857526779175,8.203265190124512,5.197248220443726,13.478712797164917,1,1,mqoz5bhq,,,,,0
16,8mmlh50a,P10,0,94,94,survey_base,EndPage,2024-02-27 16:08:29.729647,1,,,12.0,16,,0.0,Questionnaire,1,1,5,"More investment in personal account may fetch more return based on the other's joint investment, provided if they invest more in joint account","I haven't changed the investment throughout the rounds, i followed the same strategy hoping for my other participants to invest more in joint account",1,4,1,4,4,1,1,3,2,4,1,The experiment was interesting and gave strategical thinking,1709051756.8337042,134.04189610481262,33.522663593292236,16.079136610031128,30.386062145233154,1,1,mqoz5bhq,,,,,0
1,59550hbj,,0,0,94,,,,0,,,0.0,1,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,lcklukap,,,,,0
2,bct625bs,,0,0,94,,,,0,,,0.0,2,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,lcklukap,,,,,0
3,6k2uwf5o,,0,0,94,,,,0,,,0.0,3,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,lcklukap,,,,,0
4,kj550cub,,0,0,94,,,,0,,,0.0,4,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,lcklukap,,,,,0
5,5rt77sps,,0,0,94,,,,0,,,0.0,5,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,lcklukap,,,,,0
6,ky331o4q,,0,0,94,,,,0,,,0.0,6,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,lcklukap,,,,,0
7,crw10yrn,,0,0,94,,,,0,,,0.0,7,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,lcklukap,,,,,0
8,v2h9gb1y,,0,0,94,,,,0,,,0.0,8,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,lcklukap,,,,,0
9,wofgcj8l,,0,0,94,,,,0,,,0.0,9,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,lcklukap,,,,,0
10,qudt6k5h,,0,0,94,,,,0,,,0.0,10,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,lcklukap,,,,,0
11,qz7m0ne0,,0,0,94,,,,0,,,0.0,11,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,lcklukap,,,,,0
12,qbyn9yeq,,0,0,94,,,,0,,,0.0,12,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,lcklukap,,,,,0
13,p2mh0as2,,0,0,94,,,,0,,,0.0,13,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,lcklukap,,,,,0
14,otg0smvh,,0,0,94,,,,0,,,0.0,14,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,lcklukap,,,,,0
15,bgzqpgv8,,0,0,94,,,,0,,,0.0,15,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,lcklukap,,,,,0
16,rfzgarra,,0,0,94,,,,0,,,0.0,16,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,lcklukap,,,,,0
1,3s72fyvt,,0,0,94,,,,0,,,0.0,1,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,qehbgntu,,,,,1
2,yzo4d0uj,,0,0,94,,,,0,,,0.0,2,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,qehbgntu,,,,,1
3,kwmtnyc6,,0,0,94,,,,0,,,0.0,3,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,qehbgntu,,,,,1
4,t129cv26,,0,0,94,,,,0,,,0.0,4,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,qehbgntu,,,,,1
5,4ufjumlc,,0,0,94,,,,0,,,0.0,5,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,qehbgntu,,,,,1
6,e8wygom9,,0,0,94,,,,0,,,0.0,6,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,qehbgntu,,,,,1
7,apazxgcd,,0,0,94,,,,0,,,0.0,7,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,qehbgntu,,,,,1
8,7v1i7cn6,,0,0,94,,,,0,,,0.0,8,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,qehbgntu,,,,,1
