participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.comprehension_question_one,player.comprehension_question_two,player.comprehension_question_three_a,player.comprehension_question_three_b,player.comprehension_question_four_a,player.comprehension_question_four_b,player.comprehension_question_four_c,player.time_to_answer,player.start_time,player.time_spent_instrucs,player.time_spent_compqs,player.num_errors_q_one,player.num_errors_q_two,player.num_errors_q_three_a,player.num_errors_q_three_b,player.num_errors_q_four_a,player.num_errors_q_four_b,player.num_errors_q_four_c,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
12,qbyn9yeq,,0,0,94,,,,0,,,0.0,12,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,lcklukap,,,,,0
13,p2mh0as2,,0,0,94,,,,0,,,0.0,13,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,lcklukap,,,,,0
14,otg0smvh,,0,0,94,,,,0,,,0.0,14,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,lcklukap,,,,,0
15,bgzqpgv8,,0,0,94,,,,0,,,0.0,15,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,lcklukap,,,,,0
16,rfzgarra,,0,0,94,,,,0,,,0.0,16,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,lcklukap,,,,,0
1,3s72fyvt,,0,0,94,,,,0,,,0.0,1,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,qehbgntu,,,,,1
2,yzo4d0uj,,0,0,94,,,,0,,,0.0,2,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,qehbgntu,,,,,1
3,kwmtnyc6,,0,0,94,,,,0,,,0.0,3,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,qehbgntu,,,,,1
4,t129cv26,,0,0,94,,,,0,,,0.0,4,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,qehbgntu,,,,,1
5,4ufjumlc,,0,0,94,,,,0,,,0.0,5,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,qehbgntu,,,,,1
6,e8wygom9,,0,0,94,,,,0,,,0.0,6,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,qehbgntu,,,,,1
7,apazxgcd,,0,0,94,,,,0,,,0.0,7,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,qehbgntu,,,,,1
8,7v1i7cn6,,0,0,94,,,,0,,,0.0,8,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,qehbgntu,,,,,1
