participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.lottery_b_one,player.lottery_b_two,player.lottery_b_three,player.lottery_b_four,player.lottery_b_five,player.lottery_b_six,player.lottery_b_seven,player.lottery_b_eight,player.lottery_b_nine,player.lottery_b_ten,player.chosen_lottery,player.relevant_choice,player.relevant_choice_as_string,player.start_time,player.time_spent_lottery,player.time_spent_results,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
13,osxvxukb,P7,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:05:53.410769,1,,,0.0,13,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
14,1h02d8c8,P14,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:05:55.911537,1,,,0.0,14,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
15,bxj0h1l7,P5,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:06:00.071424,1,,,0.0,15,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
16,timfpskc,,0,0,96,,,,0,,,0.0,16,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
1,z6zvu5y9,P1,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:17:28.972381,1,,,18.0,1,,5.0,1,1,1,1,2,2,2,2,2,2,6,2,B,1709059368.5893135,43.0600266456604,11.687937021255493,1,1,62k7oqv7,,,,,0
2,tltzhnno,P2,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:17:39.831956,1,,,18.0,2,,5.0,1,1,1,1,2,2,2,2,2,2,5,2,B,1709059357.9938698,69.26121354103088,1.199591875076294,1,1,62k7oqv7,,,,,0
3,q6zhihya,P3,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:17:44.365161,1,,,16.0,3,,5.0,1,1,1,2,2,2,2,2,1,1,8,2,B,1709059365.3017254,38.5656316280365,8.481126308441162,1,1,62k7oqv7,,,,,0
4,u9zm906p,P7,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:17:45.303605,1,,,19.0,4,,5.0,1,1,1,1,1,1,1,2,2,2,8,2,B,1709059350.6923895,26.50419044494629,5.25168776512146,1,1,62k7oqv7,,,,,0
5,hq64a48z,P6,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:17:48.950518,1,,,16.0,5,,3.0,1,1,1,1,1,1,1,1,1,1,5,1,A,1709059356.5518188,22.752448081970215,11.186561346054077,1,1,62k7oqv7,,,,,0
6,im4x5o2w,P9,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:17:57.113859,1,,,14.0,6,,1.0,1,1,1,1,2,2,2,2,2,2,4,1,A,1709059369.1093256,46.68341779708862,12.23338770866394,1,1,62k7oqv7,,,,,0
7,mwrun8gi,P5,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:18:04.394028,1,,,13.0,7,,0.1,2,2,2,2,2,2,2,2,2,2,9,2,B,1709059358.27562,53.2411892414093,1.387406826019287,1,1,62k7oqv7,,,,,0
8,xdbmchmc,P14,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:18:15.505565,1,,,18.0,8,,3.0,1,1,1,1,1,1,2,2,2,2,1,1,A,1709059347.8362024,24.59503412246704,2.4878273010253906,1,1,62k7oqv7,,,,,0
9,lu9bmylx,P16,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:18:21.391998,1,,,18.0,9,,3.0,1,2,1,2,1,2,1,2,2,2,7,1,A,1709059354.6222093,32.30643916130066,9.240607976913452,1,1,62k7oqv7,,,,,0
10,6ofx6ebx,P10,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:19:03.933675,1,,,18.0,10,,5.0,1,1,1,1,2,2,2,1,2,2,5,2,B,1709059359.4346242,13.102909088134766,2.62662672996521,1,1,62k7oqv7,,,,,0
11,cqzqkvar,P15,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:19:20.920887,1,,,14.0,11,,5.0,1,1,1,1,1,1,2,2,2,2,8,2,B,1709059360.9041188,44.57674980163574,4.068591833114624,1,1,62k7oqv7,,,,,0
12,jpg41nfb,P13,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:19:47.503455,1,,,15.0,12,,3.0,1,1,1,1,2,2,2,2,2,2,3,1,A,1709059351.9870057,26.12724781036377,6.713117361068726,1,1,62k7oqv7,,,,,0
13,9tylgozx,P12,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:20:07.091618,1,,,18.0,13,,3.0,1,1,1,1,2,2,2,2,2,2,3,1,A,1709059351.842858,36.96469855308533,6.373432159423828,1,1,62k7oqv7,,,,,0
14,cig3y4ax,P4,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:20:23.408774,1,,,14.0,14,,1.0,1,1,1,1,1,1,1,1,1,1,4,1,A,1709059362.0644956,22.21452283859253,5.202813386917114,1,1,62k7oqv7,,,,,0
15,g3j95yy1,P8,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:20:30.290104,1,,,14.0,15,,1.0,1,1,2,1,1,1,1,2,2,2,6,1,A,1709059348.2383192,75.71603894233704,3.2311863899230957,1,1,62k7oqv7,,,,,0
16,pame0x3w,P11,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:20:55.190443,1,,,13.0,16,,1.0,2,1,2,2,2,2,1,1,2,1,8,1,A,1709059369.4144366,18.98362922668457,12.566812992095947,1,1,62k7oqv7,,,,,0
1,3s72fyvt,,0,0,94,,,,0,,,0.0,1,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,qehbgntu,,,,,1
2,yzo4d0uj,,0,0,94,,,,0,,,0.0,2,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,qehbgntu,,,,,1
3,kwmtnyc6,,0,0,94,,,,0,,,0.0,3,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,qehbgntu,,,,,1
4,t129cv26,,0,0,94,,,,0,,,0.0,4,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,qehbgntu,,,,,1
5,4ufjumlc,,0,0,94,,,,0,,,0.0,5,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,qehbgntu,,,,,1
6,e8wygom9,,0,0,94,,,,0,,,0.0,6,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,qehbgntu,,,,,1
7,apazxgcd,,0,0,94,,,,0,,,0.0,7,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,qehbgntu,,,,,1
8,7v1i7cn6,,0,0,94,,,,0,,,0.0,8,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,qehbgntu,,,,,1
